Time (s),TX Value,Duty Cycle,Reconstructed Value,Poll Samples
0.171000,-0.309017,0.314985,-0.370031,11118
0.172000,-0.587785,0.183959,-0.632081,11209
0.173000,-0.809017,0.084696,-0.830607,23295
0.174000,-0.951057,0.024885,-0.950231,9966
0.175000,-1.000000,0.000000,-1.000000,11753
0.176000,-0.951057,0.021640,-0.956721,11784
0.177000,-0.809017,0.083588,-0.832824,12119
0.178000,-0.587785,0.178217,-0.643566,11284
0.179000,-0.309017,0.315515,-0.368971,10719
0.180000,0.000000,0.463891,-0.072218,11313
0.181000,0.309017,0.616236,0.232472,9399
0.182000,0.587785,0.761681,0.523362,10851
0.183000,0.809017,0.890217,0.780435,10621
0.184000,0.951057,0.964432,0.928864,10515
0.185000,1.000000,0.998743,0.997485,10339
0.186000,0.951057,0.973939,0.947878,10437
0.187000,0.809017,0.898614,0.797229,10682
0.188000,0.587785,0.777384,0.554768,10718
0.189000,0.309017,0.631350,0.262701,11279
0.190000,-0.000000,0.474846,-0.050309,10694
0.191000,-0.309017,0.321201,-0.357599,8929
0.192000,-0.587785,0.197468,-0.605064,11217
0.193000,-0.809017,0.086767,-0.826466,9174
0.194000,-0.951057,0.024449,-0.951103,12107
0.195000,-1.000000,0.000000,-1.000000,12185
0.196000,-0.951057,0.020819,-0.958361,12008
0.197000,-0.809017,0.085724,-0.828552,11887
0.198000,-0.587785,0.183075,-0.633850,12443
0.199000,-0.309017,0.304652,-0.390696,11436
0.200000,0.000000,0.468493,-0.063013,11204
0.201000,0.309017,0.612526,0.225053,10873
0.202000,0.587785,0.764624,0.529247,10719
0.203000,0.809017,0.886979,0.773958,10122
0.204000,0.951057,0.968278,0.936556,10466
0.205000,1.000000,0.998718,0.997435,10137
0.206000,0.951057,0.975802,0.951603,9794
0.207000,0.809017,0.897639,0.795279,9828
0.208000,0.587785,0.784597,0.569195,9336
0.209000,0.309017,0.634648,0.269296,10598
0.210000,-0.000000,0.474193,-0.051614,10753
0.211000,-0.309017,0.316964,-0.366071,10752
0.212000,-0.587785,0.189094,-0.621813,14982
0.213000,-0.809017,0.091110,-0.817780,13577
0.214000,-0.951057,0.023562,-0.952876,10780
0.215000,-1.000000,0.000883,-0.998234,10195
0.216000,-0.951057,0.021219,-0.957562,11782
0.217000,-0.809017,0.083784,-0.832431,9238
0.218000,-0.587785,0.185640,-0.628721,10515
0.219000,-0.309017,0.311161,-0.377678,9802
0.220000,0.000000,0.454988,-0.090024,10475
0.221000,0.309017,0.622101,0.244201,10045
0.222000,0.587785,0.754764,0.509528,10443
0.223000,0.809017,0.888823,0.777646,16811
0.224000,0.951057,0.964484,0.928968,9179
0.225000,1.000000,0.998459,0.996918,12330
0.226000,0.951057,0.972979,0.945957,9437
0.227000,0.809017,0.894677,0.789354,9694
0.228000,0.587785,0.775374,0.550749,9616
0.229000,0.309017,0.638197,0.276395,10362
0.230000,-0.000000,0.471675,-0.056649,10009
0.231000,-0.309017,0.318616,-0.362769,9535
0.232000,-0.587785,0.192165,-0.615671,11563
0.233000,-0.809017,0.086280,-0.827441,10663
0.234000,-0.951057,0.023570,-0.952861,9631
0.235000,-1.000000,0.000000,-1.000000,12055
0.236000,-0.951057,0.020184,-0.959632,11643
0.237000,-0.809017,0.081845,-0.836309,11986
0.238000,-0.587785,0.181008,-0.637983,11226
0.239000,-0.309017,0.316140,-0.367720,9616
0.240000,0.000000,0.473322,-0.053357,14375
0.241000,0.309017,0.615061,0.230122,10225
0.242000,0.587785,0.771229,0.542458,10010
0.243000,0.809017,0.883950,0.767901,9022
0.244000,0.951057,0.967449,0.934897,8141
0.245000,1.000000,0.997378,0.994756,9154
0.246000,0.951057,0.974526,0.949052,10442
0.247000,0.809017,0.898616,0.797232,10406
0.248000,0.587785,0.781608,0.563216,10646
0.249000,0.309017,0.635636,0.271272,10871
0.250000,-0.000000,0.470997,-0.058006,11223
0.251000,-0.309017,0.318123,-0.363755,11527
0.252000,-0.587785,0.193504,-0.612991,11700
0.253000,-0.809017,0.085351,-0.829297,11892
0.254000,-0.951057,0.021015,-0.957971,11944
